Map,Score1,Score2,Team1,Team2,MainWon
Mirage,22,19,OG,MOUZ,0
Mirage,10,16,Evil Geniuses,MOUZ,1
Inferno,11,16,MOUZ,Cloud9,0
Overpass,16,13,MOUZ,Cloud9,1
Ancient,16,9,MOUZ,Cloud9,1
Overpass,3,13,Lynn Vision,MOUZ,1
Inferno,7,13,Lynn Vision,MOUZ,1
Nuke,9,16,MOUZ,paiN,0
Inferno,16,13,MOUZ,paiN,1
Ancient,16,7,MOUZ,paiN,1
Inferno,16,6,MOUZ,Outsiders,1
Inferno,12,16,MOUZ,Vitality,0
Overpass,16,10,MOUZ,Vitality,1
Nuke,16,12,MOUZ,Vitality,1
Overpass,16,8,MOUZ,500,1
Nuke,16,8,MOUZ,500,1
Mirage,13,16,G2,MOUZ,1
Ancient,16,14,G2,MOUZ,0
Inferno,7,16,G2,MOUZ,1
Inferno,16,9,Complexity,MOUZ,0
Nuke,12,16,Complexity,MOUZ,1
Ancient,16,12,Complexity,MOUZ,0
Overpass,16,7,MOUZ,TYLOO,1
Ancient,16,11,MOUZ,TYLOO,1
Ancient,10,16,K23,MOUZ,1
Mirage,8,16,Heroic,MOUZ,1
Nuke,10,16,Heroic,MOUZ,1
Overpass,10,13,Astralis,MOUZ,1
Mirage,13,3,Astralis,MOUZ,0
Vertigo,7,13,Astralis,MOUZ,1
Mirage,9,16,Virtus.pro,MOUZ,1
Ancient,5,16,Virtus.pro,MOUZ,1
Nuke,12,16,Ninjas in Pyjamas,MOUZ,1
Inferno,7,16,Ninjas in Pyjamas,MOUZ,1
Mirage,13,16,ENCE,MOUZ,1
Overpass,3,16,ENCE,MOUZ,1
Vertigo,16,10,MOUZ,OG,1
Ancient,13,7,MOUZ,M80,1
Vertigo,13,11,MOUZ,M80,1
Vertigo,8,16,Heroic,MOUZ,1
Overpass,16,9,Heroic,MOUZ,0
Ancient,14,16,Heroic,MOUZ,1
Mirage,6,16,MOUZ,Heroic,0
Overpass,10,16,MOUZ,Heroic,0
Ancient,16,3,MOUZ,Apeks,1
Overpass,16,9,MOUZ,Apeks,1
Vertigo,12,16,MOUZ,Eternal Fire,0
Mirage,16,13,MOUZ,Eternal Fire,1
Nuke,17,19,MOUZ,Eternal Fire,0
Inferno,10,16,Natus Vincere,MOUZ,1
Overpass,9,16,Natus Vincere,MOUZ,1
Mirage,15,19,Natus Vincere,MOUZ,1
Vertigo,13,16,Heroic,MOUZ,1
Nuke,10,16,Heroic,MOUZ,1
Ancient,16,19,MOUZ,HEET,0
Inferno,16,12,MOUZ,HEET,1
Vertigo,16,9,MOUZ,HEET,1
Vertigo,9,16,MOUZ,Ninjas in Pyjamas,0
Inferno,16,12,MOUZ,Ninjas in Pyjamas,1
Mirage,16,3,MOUZ,Ninjas in Pyjamas,1
Overpass,16,6,BIG,MOUZ,0
Mirage,16,12,MOUZ,FURIA,1
Ancient,16,9,MOUZ,FURIA,1
